TIME,BATT,LIGHT,TEMP,HUM,NOISE_A,PRESS,PM_1,PM_25,PM_10,PM_DALLAS_TEMP
ISO 8601,%,Lux,C,%,dBA,kPa,ug/m3,ug/m3,ug/m3,C
Time,Battery,Light,Temperature,Humidity,Noise dBA,Barometric pressure,PM 1.0,PM 2.5,PM 10.0,PM board Dallas Temperature
,10,14,55,56,53,58,89,87,88,96
2018-12-06T00:00:26Z,-1,0.00,21.85,52.76,54.99,102.24,none,none,none,20.375
2018-12-06T00:01:26Z,-1,0.00,21.85,52.86,48.94,102.25,none,none,none,20.375
2018-12-06T00:02:26Z,-1,0.00,21.85,52.84,47.82,102.25,none,none,none,20.375
2018-12-06T00:03:26Z,-1,0.00,21.81,52.80,48.04,102.25,none,none,none,20.375
2018-12-06T00:04:26Z,-1,0.00,21.82,52.92,51.08,102.25,none,none,none,20.312
2018-12-06T00:05:26Z,-1,0.00,21.77,52.96,49.75,102.25,none,none,none,20.312
2018-12-06T00:06:26Z,-1,0.00,21.77,52.96,50.40,102.25,none,none,none,20.312
2018-12-06T00:08:26Z,-1,0.00,21.82,52.80,47.61,102.26,none,none,none,20.312
2018-12-06T00:09:26Z,-1,0.00,21.81,52.79,50.49,102.26,none,none,none,20.312
2018-12-06T00:10:26Z,-1,0.00,21.82,52.67,49.40,102.26,none,none,none,20.312
2018-12-06T00:11:26Z,-1,0.00,21.84,52.65,50.06,102.26,none,none,none,20.312
2018-12-06T00:12:26Z,-1,0.00,21.85,52.66,48.69,102.27,none,none,none,20.312
2018-12-06T00:13:26Z,-1,0.00,21.82,52.59,48.88,102.27,none,none,none,20.312
2018-12-06T00:14:26Z,-1,0.00,21.85,52.61,49.54,102.27,none,none,none,20.312
2018-12-06T00:15:26Z,-1,0.00,21.82,52.76,47.62,102.27,none,none,none,20.312
2018-12-06T00:17:26Z,-1,0.00,21.77,52.70,48.70,102.27,none,none,none,20.312
2018-12-06T00:18:26Z,-1,0.00,21.78,52.81,48.10,102.26,none,none,none,20.312
2018-12-06T00:19:26Z,-1,0.00,21.75,52.69,48.44,102.26,none,none,none,20.312
2018-12-06T00:20:26Z,-1,0.00,21.79,52.77,50.09,102.25,none,none,none,20.250
2018-12-06T00:21:26Z,-1,0.00,21.74,52.84,50.21,102.26,none,none,none,20.250
2018-12-06T00:22:26Z,-1,0.00,21.72,52.88,50.13,102.26,none,none,none,20.250
2018-12-06T00:23:26Z,-1,0.00,21.71,52.84,49.08,102.27,none,none,none,20.312
2018-12-06T00:24:26Z,-1,0.00,21.74,52.62,49.07,102.26,none,none,none,20.312
2018-12-06T00:25:26Z,-1,0.00,21.78,52.64,48.83,102.26,none,none,none,20.312
2018-12-06T00:27:26Z,-1,0.00,21.77,52.67,49.05,102.27,none,none,none,20.312
2018-12-06T00:28:26Z,-1,0.00,21.75,52.64,50.13,102.27,none,none,none,20.312
2018-12-06T00:29:26Z,-1,0.00,21.74,52.66,49.78,102.28,none,none,none,20.250
2018-12-06T00:30:26Z,-1,0.00,21.75,52.68,50.32,102.28,none,none,none,20.250
2018-12-06T00:31:26Z,-1,0.00,21.74,52.77,51.83,102.28,none,none,none,20.250
2018-12-06T00:32:26Z,-1,0.00,21.69,52.74,48.46,102.28,none,none,none,20.250
2018-12-06T00:33:26Z,-1,0.00,21.71,52.57,48.40,102.28,none,none,none,20.250
2018-12-06T00:34:26Z,-1,0.00,21.74,52.64,48.37,102.27,none,none,none,20.250
2018-12-06T00:35:26Z,-1,0.00,21.74,52.50,49.13,102.27,none,none,none,20.250
2018-12-06T00:37:26Z,-1,0.00,21.77,52.51,51.06,102.27,none,none,none,20.250
2018-12-06T00:38:26Z,-1,0.00,21.74,52.54,46.13,102.27,none,none,none,20.250
2018-12-06T00:39:26Z,-1,0.00,21.74,52.50,48.31,102.27,none,none,none,20.250
2018-12-06T00:40:26Z,-1,0.00,21.72,52.51,48.79,102.27,none,none,none,20.250
2018-12-06T00:41:26Z,-1,0.00,21.72,52.59,48.68,102.27,none,none,none,20.250
2018-12-06T00:42:26Z,-1,0.00,21.71,52.56,49.74,102.27,none,none,none,20.250
2018-12-06T00:43:26Z,-1,0.00,21.71,52.48,48.54,102.27,none,none,none,20.250
2018-12-06T00:44:26Z,-1,0.00,21.71,52.53,47.95,102.27,none,none,none,20.250
2018-12-06T00:45:26Z,-1,0.00,21.69,52.61,48.83,102.27,none,none,none,20.250
2018-12-06T00:47:26Z,-1,0.00,21.71,52.60,46.32,102.27,none,none,none,20.188
2018-12-06T00:48:26Z,-1,0.00,21.69,52.54,51.49,102.27,none,none,none,20.188
2018-12-06T00:49:26Z,-1,0.00,21.68,52.49,58.13,102.27,none,none,none,20.188
2018-12-06T00:50:26Z,-1,0.00,21.69,52.53,46.05,102.28,none,none,none,20.188
2018-12-06T00:51:26Z,-1,0.00,21.67,52.45,52.02,102.28,none,none,none,20.188
2018-12-06T00:52:26Z,-1,0.00,21.68,52.48,48.19,102.28,none,none,none,20.188
2018-12-06T00:53:26Z,-1,0.00,21.69,52.47,50.34,102.28,none,none,none,20.188
2018-12-06T00:54:26Z,-1,0.00,21.68,52.46,49.86,102.28,none,none,none,20.188
2018-12-06T00:56:26Z,-1,0.00,21.69,52.43,48.14,102.28,none,none,none,20.250
2018-12-06T00:57:26Z,-1,0.00,21.68,52.49,49.27,102.28,none,none,none,20.188
2018-12-06T00:58:26Z,-1,0.00,21.64,52.46,46.39,102.28,none,none,none,20.188
2018-12-06T00:59:26Z,-1,0.00,21.67,52.37,49.47,102.28,none,none,none,20.188
2018-12-06T01:00:26Z,-1,0.00,21.67,52.41,48.75,102.28,none,none,none,20.188
2018-12-06T01:01:26Z,-1,0.00,21.67,52.35,48.38,102.28,none,none,none,20.188
2018-12-06T01:02:26Z,-1,0.00,21.69,52.34,50.16,102.28,none,none,none,20.188
2018-12-06T01:03:26Z,-1,0.00,21.67,52.39,48.19,102.28,none,none,none,20.188
2018-12-06T01:04:26Z,-1,0.00,21.62,52.44,49.09,102.29,none,none,none,20.188
2018-12-06T01:06:26Z,-1,0.00,21.64,52.45,50.93,102.29,none,none,none,20.188
2018-12-06T01:07:26Z,-1,0.00,21.62,52.41,50.09,102.29,none,none,none,20.188
2018-12-06T01:08:26Z,-1,0.00,21.62,52.47,49.61,102.29,none,none,none,20.188
2018-12-06T01:09:26Z,-1,0.00,21.61,52.46,49.70,102.28,none,none,none,20.188
2018-12-06T01:10:26Z,-1,0.00,21.61,52.42,49.47,102.28,none,none,none,20.188
2018-12-06T01:11:26Z,-1,0.00,21.61,52.43,49.66,102.28,none,none,none,20.188
2018-12-06T01:12:26Z,-1,0.00,21.60,52.44,49.52,102.28,none,none,none,20.125
2018-12-06T01:13:26Z,-1,0.00,21.57,52.41,48.10,102.29,none,none,none,20.125
2018-12-06T01:14:27Z,-1,0.00,21.60,52.40,47.66,102.28,none,none,none,20.188
2018-12-06T01:16:27Z,-1,0.00,21.62,52.41,47.30,102.28,none,none,none,20.188
2018-12-06T01:17:27Z,-1,0.00,21.60,52.33,47.25,102.29,none,none,none,20.188
2018-12-06T01:18:27Z,-1,0.00,21.60,52.42,47.54,102.29,none,none,none,20.188
2018-12-06T01:19:27Z,-1,0.00,21.60,52.45,48.67,102.29,none,none,none,20.125
2018-12-06T01:20:27Z,-1,0.00,21.61,52.46,50.79,102.29,none,none,none,20.125
2018-12-06T01:21:27Z,-1,0.00,21.57,52.48,48.23,102.29,none,none,none,20.125
